"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"4.53178","-0.394455","4.06888","1.10877","-0.28256","0.548856","-12.9677","-13.8524","-33.1525","1"
"-2.96213","0.0629222","11.204","-1.79519","0.49205","-1.70631","4.96012","8.78906","-42.218","0"
"3.57438","0.505365","7.0723","0.364467","-0.135873","0.144863","-9.48661","-12.6072","-34.7183","1"
"-0.648949","-0.0389175","9.5914","-0.945328","0.263512","-0.914391","1.89514","15.7234","-42.9962","0"
"1.71037","0.269224","8.98516","0.43394","-0.0541273","0.104715","-9.90601","-12.481","-34.8203","1"
"-1.18442","0.161247","11.7215","-1.10825","0.187485","-1.10728","3.77579","17.1333","-41.8549","0"
"3.15687","-1.31628","6.06819","0.368404","-0.0447257","0.264206","-9.36083","-12.767","-34.1182","1"
"-1.72686","-1.40994","11.5136","-1.22767","0.296936","-1.67707","0.546265","19.3031","-40.1917","0"
"2.9737","-2.93369","5.72406","0.46717","-0.00239999","0.0990971","-10.6319","-10.6432","-34.5404","1"
"-1.51819","-1.55295","9.47344","-0.817192","-0.0215607","-1.00484","-1.17798","19.6106","-40.7883","0"
"2.74215","-0.76234","8.32309","0.416282","-0.0442766","0.0566472","-10.093","-11.5302","-35.2947","1"
"-1.82112","-1.43023","11.5864","-0.95594","0.131271","-0.95562","-1.79214","20.4521","-40.5922","0"
"4.8757","-1.60849","5.68094","1.16686","-0.0737305","0.871122","-11.542","-11.705","-34.4032","1"
"-1.96699","-2.39325","12.2252","-2.20704","0.304433","-1.81795","-1.98008","10.9314","-41.3803","0"
"1.85544","-1.14432","7.97863","0.689712","-0.147583","0.223748","-12.8976","-10.4318","-33.5009","1"
"-2.26429","-2.51148","11.8563","-1.23729","0.380793","-1.31225","-1.74255","20.0643","-40.2664","0"
"2.41218","-1.84262","6.40153","0.375098","0.042511","0.209771","-11.0282","-12.3934","-36.2937","1"
"-2.56718","-2.3633","11.0697","-0.992363","0.323044","-1.06166","-1.00708","25.0305","-38.6421","0"
"2.69655","2.11663","12.5887","0.289886","-0.0925674","-0.162992","-12.7249","-6.65379","-34.7961","1"
"-1.48208","-1.04152","10.5752","-0.103615","0.177841","-0.517403","-2.64893","20.2972","-42.6224","0"
"5.83595","-1.31416","1.42854","0.24081","0.00581142","0.136956","-11.7392","-13.4256","-35.1545","1"
"-3.19334","-0.932198","11.7535","-0.587242","0.358139","-0.850304","0.551605","20.7245","-41.9823","0"
"2.85329","-0.578622","7.69337","0.586047","-0.121401","0.266641","-12.7705","-12.4326","-34.6514","1"
"-1.08019","-0.976051","10.0649","-1.46651","0.0519943","-1.53413","1.19247","17.1509","-42.6193","0"
"3.9521","-2.80667","1.39543","0.664518","-0.0657","0.362813","-11.1526","-12.1658","-34.889","1"
"-1.01114","-1.69559","11.0355","-0.999046","0.140484","-0.979187","-3.34625","18.4792","-41.1411","0"
"3.77542","-0.640379","4.24174","0.594737","0.210183","0.0487867","-9.66121","-14.5087","-31.8532","1"
"-4.38913","-2.41648","12.4652","-0.83886","-0.520729","-1.76048","6.88019","20.1202","-37.9532","0"
"1.80676","0.417858","11.8608","0.665695","-0.0540663","0.448883","-9.63963","-14.5506","-31.3335","1"
"-1.58867","-0.25222","11.6941","-1.65277","0.152084","-2.24889","3.29437","15.0612","-41.2987","0"
"2.05059","1.43515","8.79729","0.685126","0.0442548","0.321389","-10.5593","-13.1703","-33.6461","1"
"-2.62111","-1.26503","11.8061","-1.35439","0.282059","-1.49414","6.06766","14.7972","-42.8497","0"
"3.91402","0.0874721","7.512","0.442468","-0.100191","-0.0108686","-8.31212","-15.4916","-33.8401","1"
"-1.00432","-0.604294","10.8314","-1.52446","-0.251755","-2.16689","1.85242","13.4277","-44.548","0"
"2.63159","-0.814802","7.76618","0.220325","-0.0967827","-0.0465679","-9.10072","-10.4309","-37.1494","1"
"-1.36632","-0.350052","9.82021","-1.04538","1.00061","-0.589447","-2.12555","16.4871","-43.248","0"
"2.39254","0.549108","7.21944","0.286743","0.0373096","-0.24642","-5.16701","-10.545","-34.927","1"
"-1.90468","-1.02144","10.726","-0.568954","-0.0986938","-1.48044","3.2608","20.3125","-40.1047","0"
"2.75607","-0.134183","8.66559","1.41742","-0.0490443","0.802228","-10.3963","-11.6262","-33.8122","1"
"-0.122955","-0.519455","11.6672","-3.56374","0.967888","-2.66959","0.126648","-1.31149","-40.8974","0"
