"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"6.97148","-1.51143","9.36371","0.0502472","1.17456","-0.946594","-21.6492","-31.6711","-24.7375","1"
"-2.64886","0.217087","15.513","-4.11655","0.572006","-3.38664","-6.71692","-13.9481","-41.8976","1"
"-1.5199","-1.23479","10.1827","-2.44954","-0.691284","-3.01105","-5.81055","11.5814","-44.31","1"
"-0.704422","-0.847687","10.7299","-0.522781","0.393188","-0.918442","-13.2126","18.0313","-40.6143","0"
"0.0474243","-0.140701","11.444","0.130341","0.1539","0.0522919","-12.0102","17.6224","-40.7349","1"
"-3.12064","0.938431","16.0922","0.772858","-0.0596771","0.69075","-11.2503","15.4282","-42.4316","1"
"-3.00998","0.722946","15.2383","3.60857","-1.00333","3.00909","-12.999","0.610352","-43.8828","1"
"14.0706","-1.73155","-10.5802","4.97574","0.423294","2.05246","-23.0392","-26.8204","-27.4658","1"
"12.2228","-1.11801","-9.71162","-1.14058","-0.40416","-0.0486298","-22.5052","-31.6788","-23.851","1"
"12.1891","-2.7946","-9.27408","1.66803","0.889297","0.247269","-26.4252","-31.1081","-21.9345","1"
"10.8603","-2.8199","-5.93788","-3.27683","0.457184","-2.36067","-15.8813","-27.4368","-31.7398","1"
"-7.53066","-1.13278","17.0558","-3.76982","0.272781","-4.65349","-0.163269","2.5177","-45.5536","1"
"-2.15932","-0.691223","10.4056","-0.571106","0.0554657","-1.11267","-5.74036","16.8488","-43.3945","0"
"-2.79109","-0.507996","9.72148","0.181793","0.136322","-0.160019","-6.89087","16.6016","-43.0267","1"
"-4.95702","1.70242","16.6698","0.826401","-0.615158","0.846588","-8.95233","14.1541","-44.1086","1"
"10.6182","-4.37282","-14.8204","4.60014","-1.43475","3.52452","-14.8422","-6.22101","-42.7505","1"
"5.11082","9.84668","16.9221","3.92108","0.474731","1.20412","-26.8448","-31.9885","-20.4041","1"
"13.37","-2.87433","-13.7444","-1.35843","-0.521713","-0.14679","-26.9531","-29.9057","-23.7549","1"
"12.1919","-2.27657","-11.7394","1.27191","1.13707","-0.206711","-25.2335","-33.9478","-19.6213","1"
"-2.17738","-0.954376","11.8465","-4.17758","0.511276","-2.76466","-13.5925","-22.6944","-36.8622","1"
"-0.474564","-0.632095","11.7086","-3.51355","0.0776978","-3.27048","-3.3783","7.94525","-45.784","0"
"-0.45224","-0.846634","9.75101","-0.676559","0.0816498","-0.774643","-9.375","18.8889","-41.9128","0"
"-4.13542","-0.484604","14.0649","0.307022","0.329254","-0.180573","-8.89435","18.4341","-41.951","1"
"-5.04968","-0.291473","15.9547","0.702896","-0.606888","0.903427","-9.82208","16.1438","-43.1641","1"
"11.6193","-8.25253","-7.85507","4.47058","-1.09789","2.79991","-12.3474","-3.52783","-44.0872","1"
"7.19113","7.68462","9.44925","4.90025","0.554367","1.59256","-24.9725","-34.2087","-18.8202","1"
"11.3077","-2.99234","-14.5024","-1.38069","-0.477615","0.315765","-27.5055","-32.5424","-20.3461","1"
"6.27338","-3.57149","4.77493","0.942245","0.944382","-0.345795","-26.2955","-34.874","-17.4194","1"
"4.65611","-4.64386","4.98726","-4.9476","-0.0829315","-2.06841","-19.1605","-21.2326","-35.8185","1"
"4.49138","-0.512619","15.2384","-3.67888","0.27301","-1.98888","-16.4047","7.44019","-43.045","1"
"-0.88678","-0.814102","10.55","-0.691223","1.13353","-1.04797","-11.8484","16.0309","-42.3813","0"
"-0.565613","-0.409256","11.1788","0.0502777","0.175095","-0.12619","-10.6644","16.9678","-41.9647","1"
"-1.93552","2.01532","17.9724","0.915665","-0.318527","0.93866","-9.48029","14.3097","-43.8019","1"
"8.42996","-6.04796","6.3811","5.04147","-1.90897","2.82669","-17.4393","-7.57294","-40.8615","1"
"8.44817","-2.02646","-12.7461","3.68642","0.808487","0.885666","-28.3264","-32.8384","-17.5674","1"
"4.76624","3.01747","9.58913","-1.37988","-0.781357","0.119308","-30.2948","-29.4067","-20.3323","1"
"11.167","-1.84425","-1.68484","1.28551","1.04045","-0.270996","-27.9907","-33.5175","-16.3864","1"
"3.26321","-2.09163","6.85774","-4.48352","1.0208","-2.76056","-16.2476","-22.1283","-34.7076","1"
"-6.60237","-4.28166","14.1004","-3.83864","0.947189","-3.33981","-1.47552","10.3928","-43.9316","0"
"-1.2522","-0.531235","10.1582","-0.447617","0.1091","-0.455902","-4.58527","21.7377","-39.5355","1"
"-3.72838","1.04733","12.2779","0.349213","0.0274353","-0.0251007","-3.9566","20.8115","-40.0909","1"
"2.40164","-2.49292","13.1291","1.20821","-0.332672","0.901077","-4.37927","15.7242","-42.746","1"
"3.51544","-4.02592","12.2166","4.73817","-2.3278","2.84421","-15.0772","-6.91833","-40.686","1"
"10.6772","-5.60239","-13.9753","3.79205","0.544601","1.1758","-28.0853","-32.4905","-16.8823","1"
"14.3675","-2.97736","-13.755","-1.51831","-0.487549","-0.0869141","-28.8513","-29.5502","-21.2006","1"
"2.40645","-4.41885","5.91275","1.01233","1.80269","-0.498627","-23.4436","-33.2489","-21.0297","1"
"0.48407","-4.68532","10.4709","-4.21614","0.872879","-3.11537","-8.88672","-18.7439","-38.6124","1"
"-3.18886","-0.971649","11.9577","-2.79382","0.534714","-3.53687","3.11432","11.6287","-43.6905","0"
"-1.62401","-1.65611","10.1414","-0.368637","0.0368042","-0.686234","-3.84979","21.1945","-40.2222","0"
"-0.550034","-1.17937","10.4589","0.324219","0.237656","-0.0515594","-3.71552","20.5475","-40.5502","1"
"-5.76601","0.475266","16.6475","0.324966","-0.2901","0.302765","-3.75671","18.6874","-41.803","1"
"-4.7605","0.328888","16.3179","2.75124","-1.30933","2.37642","-6.94275","7.33948","-44.696","1"
"11.1412","-1.0527","-8.79492","5.94246","-0.456879","2.58987","-22.4014","-25.3464","-28.5706","1"
"4.91972","9.08012","21.9683","-1.94066","-0.508347","0.112396","-24.7025","-29.5349","-24.7025","1"
"13.4267","-4.90533","-13.8948","2.10439","0.79834","0.685791","-29.2969","-25.5173","-24.6689","1"
"13.0755","-3.61824","-10.7704","-1.71565","0.894974","-1.6469","-19.6854","-29.0421","-28.1693","1"
"-7.48526","-2.76642","14.7798","-3.77769","1.29857","-4.07602","-1.45569","-5.75714","-44.1376","1"
"-1.33279","0.532318","9.90552","-1.17381","0.0870972","-1.84789","0.1297","14.7491","-43.5455","1"
"-2.01823","-0.215744","9.37058","-0.00918579","0.335632","-0.312988","0.949097","16.7664","-42.9321","0"
"-0.547852","1.4613","11.797","0.154556","-0.418274","0.228119","-1.11847","16.6641","-43.3197","1"
"-6.44215","-1.51289","15.1929","1.47524","-0.463013","1.17386","-2.93732","10.7681","-45.0531","1"
"11.177","-6.65231","3.33731","5.69348","-1.83705","3.64713","-18.8309","-18.2816","-35.1578","1"
"10.7626","2.88153","8.33435","0.0505219","0.325821","0.416412","-25.3555","-31.9031","-21.9467","1"
"8.94951","-4.79965","3.05205","0.921066","0.416962","0.109436","-29.2175","-26.5244","-24.8215","1"
"1.54996","-2.84746","8.47475","-1.01965","0.552933","-0.766251","-22.6746","-31.9778","-23.9471","1"
"-2.53752","-4.66281","14.0449","-4.70709","1.20679","-3.9964","-8.45184","-8.99963","-42.9398","1"
"-1.45242","-0.944611","11.2909","-1.95154","0.281647","-2.70387","-3.69263","15.715","-43.0206","0"
"-0.352676","0.231674","8.69424","0.0394135","0.160782","-0.303146","-7.78046","19.2947","-41.5894","1"
"-4.56255","1.71916","15.3386","0.314423","0.0639038","0.282211","-5.45044","17.0624","-42.8802","1"
"5.16791","-4.44672","11.9966","1.40967","-0.328476","1.44623","-5.76019","11.7233","-44.7647","1"
"7.83046","-5.01091","11.7359","5.38884","-1.38617","3.67688","-15.4984","-15.3687","-38.1042","1"
"6.65018","11.1615","20.1588","1.15627","0.863266","0.547577","-21.2357","-34.6848","-21.344","1"
"13.9068","-1.26341","-12.1908","0.134323","-0.469254","0.255157","-27.6489","-29.1779","-23.6969","1"
"1.06865","-4.60123","10.5926","-0.527664","0.89502","-1.17368","-20.0058","-33.963","-23.1873","1"
"-6.02995","-2.98065","23.0249","-4.24904","0.734421","-3.74126","-3.2135","-12.9501","-42.3492","1"
"-7.08357","-2.70305","21.3237","-2.30229","0.0839996","-2.42752","0.228882","16.1484","-43.0603","0"
"-0.453217","0.65451","10.7937","0.0833588","0.0519104","-0.0298157","-2.51312","19.3497","-41.7908","0"
"-4.62617","0.312988","13.0413","0.186798","-0.0641327","-0.0900574","-2.36511","18.0878","-42.2958","1"
"-5.15196","1.02087","14.201","1.32759","-0.597824","0.936157","-4.37317","13.2721","-44.1406","1"
"8.08302","-7.83627","-11.1034","6.22966","-1.51199","3.69225","-15.7608","-16.0538","-36.6577","1"
"8.79616","-8.66362","-16.8939","0.694962","0.709045","0.44632","-22.4136","-35.8307","-18.8583","1"
"11.3151","-0.495361","-3.40787","-0.0834656","-0.324829","0.387238","-28.5767","-28.6881","-23.32","1"
"8.68182","-3.61229","6.92444","-0.242737","0.839539","-1.01431","-21.7545","-33.7845","-21.2448","1"
"7.58786","-4.1893","6.52019","-4.87157","0.36438","-3.98175","-7.65076","-11.4532","-41.7648","1"
"-2.53499","-1.04103","15.6387","-2.09492","0.17099","-2.68288","-5.28564","14.8346","-43.2068","0"
"-0.602219","-0.380508","10.1912","0.0389252","-0.159698","-0.143951","-9.935","17.8162","-41.2216","0"
"-0.798187","0.496262","14","0.102219","-0.0610504","0.378296","-8.2489","17.0181","-41.9403","1"
"-6.07291","0.672211","13.6013","1.09248","0.18399","0.864975","-6.51245","13.3072","-43.6371","1"
"6.95212","-8.98138","11.2031","5.49661","-2.21268","3.54909","-16.0492","-10.6171","-38.3972","1"
"9.51221","9.58673","13.5275","2.16156","0.585754","0.666046","-28.2486","-33.4427","-15.6006","1"
"6.87087","5.35738","10.8334","-0.526825","-0.517807","0.483231","-33.6884","-26.4786","-19.3222","1"
"13.2068","-3.0338","-10.5167","0.500229","1.43005","-1.00482","-26.0818","-33.0322","-18.6096","1"
"-6.27272","-4.52399","14.4805","-5.06442","1.03357","-3.94693","-6.50787","-13.9389","-40.567","1"
"-6.47035","-3.71902","13.4782","-2.26512","0.268936","-3.34528","-2.57416","17.6636","-41.9983","0"
"-0.911453","-0.277847","10.6398","-0.018692","0.150055","-0.37088","-8.61969","20.6833","-40.7761","0"
"-3.97566","-0.490387","13.5882","0.349472","0.229965","0.142654","-6.71082","18.5074","-41.8564","1"
"-3.1158","-4.10574","16.4285","0.446091","-0.37532","0.859467","-6.6925","17.0502","-43.0252","1"
"12.871","-7.63231","-13.2614","4.64995","-1.58054","3.8791","-10.672","-2.74506","-43.3655","1"
"11.7549","-7.72101","-12.8852","3.64691","0.253387","1.8784","-25.6638","-31.691","-21.9254","1"
"12.21","-0.666519","-3.22731","-1.39272","-0.785355","0.259491","-32.3288","-25.8408","-23.2864","1"
"8.46605","-3.49472","6.79628","1.39696","1.7202","-0.744324","-26.7792","-31.8329","-21.0022","1"
"6.75378","-4.21423","6.44363","-4.81911","0.697144","-4.32378","-7.81708","-16.5787","-39.7552","1"
"-1.20369","-0.634125","13.806","-2.57463","0.0503387","-2.85744","-2.19879","14.1632","-43.9652","0"
"-0.239868","-1.17136","9.33929","-0.259521","-0.231552","-0.470062","-7.79572","20.5215","-40.9241","0"
"-0.540924","-1.3801","9.94803","0.0535889","0.095871","-0.364151","-9.60236","20.6238","-40.8783","0"
"-1.35193","-0.92096","7.29294","0.203979","0.11821","0.0177155","-9.79767","19.7235","-42.2333","0"
"-3.73019","1.25603","16.6617","0.526367","-0.477448","0.625259","-10.0021","17.8406","-43.4051","1"
"-3.68843","0.967163","15.9642","4.02901","-1.23174","3.3833","-12.2391","2.2644","-45.2301","1"
"10.0842","-2.21434","-10.1683","4.64076","0.150986","2.20364","-25.3159","-30.2032","-25.824","1"
"4.94087","7.16838","12.739","-1.79808","-0.777802","0.299377","-31.2256","-25.7065","-26.4038","1"
"15.2792","-2.3678","-9.77666","2.06784","1.42126","-0.0883331","-28.6026","-30.5984","-23.2788","1"
"3.23453","-4.4796","8.90947","-3.89444","-0.0799866","-2.98187","-18.0359","-24.1898","-35.6644","1"
"-1.47327","-0.97406","10.646","-4.12979","0.953384","-3.53058","-4.89349","7.16858","-46.3547","0"
"-0.684219","-0.747375","10.344","-0.547287","0.398209","-0.386063","-3.60413","21.0281","-42.7536","0"
"-1.54688","-0.877258","11.6002","0.294113","0.14238","-0.363113","-3.01514","20.1523","-42.0944","1"
"-1.55618","-0.362244","11.8739","0.189926","-0.247147","0.490616","-3.76282","18.9865","-43.2632","1"
"-3.84001","0.803375","14.5343","2.05392","-0.728348","1.83533","-3.31268","10.231","-45.8954","1"
"10.0057","-8.21701","2.12343","5.73602","-1.01181","3.02098","-18.2068","-21.3913","-34.9625","1"
"3.49092","4.466","13.8981","-0.923965","0.143784","0.457916","-25.1816","-30.7571","-25.296","1"
"3.58728","1.69597","12.685","1.6414","0.341461","0.40065","-26.5396","-27.9861","-26.4908","1"
"2.72083","-0.635864","9.97459","-1.22453","0.639893","-1.45744","-19.4717","-32.8171","-25.8987","1"
"-2.53764","1.30875","13.5184","-4.16774","1.20636","-3.64015","-0.227356","-9.0683","-44.0277","0"
"-2.63446","0.897736","14.6701","-1.66026","0.285919","-1.64806","4.33197","14.5813","-44.2093","0"
"-1.38158","-0.130676","11.1082","0.07547","0.158051","-0.483505","1.81427","19.2368","-42.3492","0"
"-4.13843","0.692764","12.5848","0.177734","-0.118607","-0.0087738","1.85547","18.1137","-43.0084","1"
"-5.02699","1.05881","13.1446","1.30241","-0.804001","1.18227","0.0152588","13.3774","-44.7433","1"
"9.1526","-6.36069","-8.74588","4.90053","-1.4175","3.7466","-12.8769","-12.7655","-41.1789","1"
"10.7911","2.68784","10.6079","1.55008","0.798721","1.32256","-22.9446","-31.5582","-25.7996","1"
"5.89839","3.28981","12.41","-1.67754","-1.09045","-0.234146","-27.0798","-22.0322","-31.1371","1"
