"accl_x_value","accl_y_value","accl_z_value","gyro_x_value","gyro_y_value","gyro_z_value","mag_x_value","mag_y_value","mag_z_value","action_class"
"17.3239","-8.74113","10.2182","-0.790237","1.95006","2.57915","-31.9992","17.0502","17.7155","hungry"
"10.1645","-5.15285","8.40457","-2.51445","2.89986","0.164185","-33.4274","24.1425","9.61456","hungry"
"1.21956","-4.74121","9.95839","-1.48587","4.63069","-3.67334","-37.7548","7.74994","-13.0737","hungry"
"0.337036","-1.37395","9.12529","0.488937","2.4263","-2.48705","-13.7543","-13.3026","-35.0586","hungry"
"-0.0328522","-0.98288","11.6693","0.0327454","0.0177765","-0.0208282","5.44281","-21.904","-35.3149","hungry"
"-0.422775","1.62906","16.9586","-0.0303802","-0.19986","0.0600433","3.79028","-21.4355","-35.9512","hungry"
"0.567947","2.77747","4.35161","1.54074","-1.17273","2.05791","-6.57349","-24.7177","-29.0405","hungry"
"2.79742","-1.09911","-0.984146","3.21674","-1.92664","3.1657","-30.1056","-22.2946","-2.92358","hungry"
"3.17749","-9.03563","3.28737","3.31233","-1.55469","0.992813","-32.6294","-7.70721","22.9431","hungry"
"13.4493","-9.92874","9.16525","0.206894","0.816467","1.74181","-33.1024","5.34973","21.4767","hungry"
"15.3369","-4.27168","10.1192","-1.65605","2.23706","1.68634","-33.4579","20.2057","10.6445","hungry"
"1.45258","0.425079","3.74188","-0.74733","1.2126","-1.93976","-36.6638","14.8697","5.46722","hungry"
"-0.914139","0.143738","-1.22162","1.92473","-0.88266","-1.78769","-38.7741","-4.01306","4.55933","hungry"
"5.99315","-9.20093","1.80203","2.17789","-1.57289","0.207977","-32.7057","-6.29883","24.2493","hungry"
"13.4359","-13.8434","11.3042","0.074707","1.14081","2.55354","-31.3873","9.96399","21.4401","hungry"
"11.9758","-5.20692","7.01427","-1.78358","2.86729","1.62575","-29.0955","26.6052","10.228","hungry"
"6.14986","-5.09905","10.0669","-1.79974","3.14461","-1.6824","-35.1715","22.699","1.17645","hungry"
"1.45619","-3.65581","8.88567","0.420792","3.39844","-3.37596","-33.6975","1.01013","-23.8388","hungry"
"0.472168","-0.984741","11.8792","0.0368195","0.016449","0.0187378","3.6026","-19.5312","-37.4313","hungry"
"3.93774","2.66147","12.7137","0.0497589","-0.367172","0.288315","1.08185","-19.3909","-37.6633","hungry"
"5.56708","1.55006","3.31744","2.36919","-2.30055","2.87524","-17.6926","-22.8149","-23.7396","hungry"
"2.47978","0.60498","-2.62506","3.31621","-3.0802","1.62244","-34.5108","-16.2216","11.264","hungry"
"5.40855","-9.62724","-0.133942","2.83728","-1.07912","-0.113266","-27.0721","-6.40564","32.045","hungry"
"11.7572","-12.473","9.32292","0.267273","1.69223","1.36275","-30.7968","6.27747","25.1831","hungry"
"16.0875","-3.6734","6.06889","-1.72144","1.97418","1.93311","-34.0775","18.1366","13.9282","hungry"
"8.5612","1.31683","4.22581","-0.882217","0.563812","-1.10271","-35.141","18.1717","11.7035","hungry"
"1.01486","-0.496979","-1.41037","1.34595","-0.688263","-2.26811","-38.1958","1.93787","13.1271","hungry"
"2.6297","-5.48466","0.53302","2.15247","-1.59442","-0.917038","-31.1783","-6.07758","27.5406","hungry"
"8.21925","-13.8538","2.91588","0.0781097","1.08118","1.92805","-31.4194","3.69873","25.5493","hungry"
"13.5108","-4.29105","9.30241","-1.89693","2.73079","1.77132","-33.2169","18.4891","14.0976","hungry"
"4.02196","-3.07408","8.93526","-2.38303","4.16345","-2.20683","-38.5666","12.735","-4.02985","hungry"
"0.409531","-2.87129","10.4492","0.0187378","0.00126648","-0.0621033","4.48761","-14.9551","-40.6265","headache"
"-1.3405","-0.934692","16.113","-0.150375","-0.103104","-0.111938","4.22058","-14.5279","-41.2216","headache"
"-5.30125","-6.57562","17.8238","-0.808243","0.382797","-0.268463","5.63202","-10.0266","-42.8879","headache"
"0.634659","-3.05731","0.278671","1.67281","-0.121078","2.93163","6.46362","-12.0117","-38.829","headache"
"-4.04904","-3.81218","-7.05765","5.77245","-6.20149","2.94243","-16.9128","-28.9398","4.97284","headache"
"11.9764","-4.71228","-3.68308","3.19836","-5.45506","0.793457","23.4528","-4.44031","41.9083","headache"
"13.559","0.153854","-2.8539","-0.154709","9.16473","0.420456","-6.18591","1.05896","30.5832","headache"
"4.57959","1.36607","-2.66493","0.270905","-5.39169","0.106201","-28.0365","3.16772","19.9707","headache"
"16.8724","-0.0967407","-1.13339","0.0398102","-4.05574","-0.0907898","26.8341","4.6814","38.4811","headache"
"9.75636","1.74759","4.86346","-0.0466766","10.0498","-0.726791","-15.4327","-0.334167","25.4135","headache"
"4.38232","-0.592728","1.82372","-0.362427","0.838699","-0.674347","-38.4583","-5.14374","1.07269","headache"
"4.47516","-3.60799","12.1308","-2.07771","1.20885","-2.3428","-33.3176","-12.9578","-12.3261","headache"
"2.2077","-2.28635","13.9022","-2.6664","0.138489","-2.42226","-23.9761","-15.6509","-26.1429","headache"
"2.1196","-1.93672","11.8599","-1.01703","0.207153","-1.26512","-18.0008","-14.6149","-34.0485","headache"
"-0.17807","-1.07391","16.3862","0.0122223","0.0504456","0.00431824","-4.953","-14.4379","-40.9897","headache"
"-2.07324","-5.22116","16.5697","-0.313797","-0.0393829","0.144196","-5.69611","-12.3703","-42.1219","headache"
"1.13672","-2.13449","3.64215","1.15808","1.40492","2.19251","-0.96283","-13.797","-39.8025","headache"
"5.54303","0.586014","1.98132","3.98552","-2.19318","3.8913","-14.9628","-26.0178","-17.07","headache"
